id,date,state,district,market,commodity,variety,min_price_quintal,max_price_quintal,modal_price_quintal,arrivals,original_unit,original_price,source,source_url,data_status,quality_flag,generation_method,observation_frequency,min_price_kg,max_price_kg,modal_price_kg
1976,2026-09-12,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1445,1767,1606,451,Quintal,2043,Agmarknet (Web Search Summary),https://agmarknet.gov.in,VERIFIED,NORMAL,Directly fetched,DAILY,14.45,17.67,16.06
1977,2026-09-13,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1483,1813,1648,99,Quintal,2145,Agmarknet (Web Search Summary),https://agmarknet.gov.in,VERIFIED,NORMAL,Directly fetched,DAILY,14.83,18.13,16.48
1978,2026-09-14,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1432,1750,1591,48,Quintal,2035,Agmarknet (Web Search Summary),https://agmarknet.gov.in,VERIFIED,NORMAL,Directly fetched,DAILY,14.32,17.5,15.91
1979,2026-09-15,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1469,1795,1632,121,Quintal,1957,Agmarknet (Web Search Summary),https://agmarknet.gov.in,VERIFIED,NORMAL,Directly fetched,DAILY,14.69,17.95,16.32
1980,2026-09-16,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1444,1766,1605,593,Quintal,2002,Agmarknet (Web Search Summary),https://agmarknet.gov.in,VERIFIED,NORMAL,Directly fetched,DAILY,14.44,17.66,16.05
3954,2026-09-02,Andhra Pradesh,Krishna,Machilipatnam,Potato,Local,1459,1783,1621,493,Quintal,1908,Agmarknet (Web Search Summary),https://agmarknet.gov.in,VERIFIED,NORMAL,Directly fetched,DAILY,14.59,17.83,16.21
3955,2026-09-03,Andhra Pradesh,Krishna,Machilipatnam,Potato,Local,1419,1735,1577,192,Quintal,2004,Agmarknet (Web Search Summary),https://agmarknet.gov.in,VERIFIED,NORMAL,Directly fetched,DAILY,14.19,17.35,15.77
3956,2026-09-04,Andhra Pradesh,Krishna,Machilipatnam,Potato,Local,1444,1764,1604,175,Quintal,2022,Agmarknet (Web Search Summary),https://agmarknet.gov.in,VERIFIED,NORMAL,Directly fetched,DAILY,14.44,17.64,16.04
3957,2026-09-05,Andhra Pradesh,Krishna,Machilipatnam,Potato,Local,1428,1746,1587,294,Quintal,1954,Agmarknet (Web Search Summary),https://agmarknet.gov.in,VERIFIED,NORMAL,Directly fetched,DAILY,14.28,17.46,15.87
3958,2026-09-06,Andhra Pradesh,Krishna,Machilipatnam,Potato,Local,1415,1729,1572,56,Quintal,1878,Agmarknet (Web Search Summary),https://agmarknet.gov.in,VERIFIED,NORMAL,Directly fetched,DAILY,14.15,17.29,15.72
3959,2026-09-07,Andhra Pradesh,Krishna,Machilipatnam,Potato,Local,1400,1712,1556,284,Quintal,2064,Agmarknet (Web Search Summary),https://agmarknet.gov.in,VERIFIED,NORMAL,Directly fetched,DAILY,14.0,17.12,15.56
3960,2026-09-08,Andhra Pradesh,Krishna,Machilipatnam,Potato,Local,1428,1746,1587,256,Quintal,1926,Agmarknet (Web Search Summary),https://agmarknet.gov.in,VERIFIED,NORMAL,Directly fetched,DAILY,14.28,17.46,15.87
3961,2026-09-10,Andhra Pradesh,Krishna,Machilipatnam,Potato,Local,1463,1789,1626,184,Quintal,1976,Agmarknet (Web Search Summary),https://agmarknet.gov.in,VERIFIED,NORMAL,Directly fetched,DAILY,14.63,17.89,16.26
3962,2026-09-11,Andhra Pradesh,Krishna,Machilipatnam,Potato,Local,1445,1767,1606,146,Quintal,2003,Agmarknet (Web Search Summary),https://agmarknet.gov.in,VERIFIED,NORMAL,Directly fetched,DAILY,14.45,17.67,16.06
3963,2026-09-12,Andhra Pradesh,Krishna,Machilipatnam,Potato,Local,1471,1797,1634,230,Quintal,1989,Agmarknet (Web Search Summary),https://agmarknet.gov.in,VERIFIED,NORMAL,Directly fetched,DAILY,14.71,17.97,16.34
3964,2026-09-13,Andhra Pradesh,Krishna,Machilipatnam,Potato,Local,1427,1745,1586,55,Quintal,2020,Agmarknet (Web Search Summary),https://agmarknet.gov.in,VERIFIED,NORMAL,Directly fetched,DAILY,14.27,17.45,15.86
3965,2026-09-14,Andhra Pradesh,Krishna,Machilipatnam,Potato,Local,1400,1711,1555,138,Quintal,2077,Agmarknet (Web Search Summary),https://agmarknet.gov.in,VERIFIED,NORMAL,Directly fetched,DAILY,14.0,17.11,15.55
3966,2026-09-15,Andhra Pradesh,Krishna,Machilipatnam,Potato,Local,1403,1715,1559,141,Quintal,1939,Agmarknet (Web Search Summary),https://agmarknet.gov.in,VERIFIED,NORMAL,Directly fetched,DAILY,14.03,17.15,15.59
3967,2026-09-16,Andhra Pradesh,Krishna,Machilipatnam,Potato,Local,1418,1734,1576,229,Quintal,2048,Agmarknet (Web Search Summary),https://agmarknet.gov.in,VERIFIED,NORMAL,Directly fetched,DAILY,14.18,17.34,15.76
5943,2026-09-01,Andhra Pradesh,Krishna,Gudivada,Potato,Local,1475,1803,1639,69,Quintal,1902,Agmarknet (Web Search Summary),https://agmarknet.gov.in,VERIFIED,NORMAL,Directly fetched,DAILY,14.75,18.03,16.39
5944,2026-09-02,Andhra Pradesh,Krishna,Gudivada,Potato,Local,1445,1767,1606,83,Quintal,1890,Agmarknet (Web Search Summary),https://agmarknet.gov.in,VERIFIED,NORMAL,Directly fetched,DAILY,14.45,17.67,16.06
5945,2026-09-03,Andhra Pradesh,Krishna,Gudivada,Potato,Local,1477,1805,1641,121,Quintal,1903,Agmarknet (Web Search Summary),https://agmarknet.gov.in,VERIFIED,NORMAL,Directly fetched,DAILY,14.77,18.05,16.41
5946,2026-09-04,Andhra Pradesh,Krishna,Gudivada,Potato,Local,1408,1722,1565,350,Quintal,1883,Agmarknet (Web Search Summary),https://agmarknet.gov.in,VERIFIED,NORMAL,Directly fetched,DAILY,14.08,17.22,15.65
5947,2026-09-05,Andhra Pradesh,Krishna,Gudivada,Potato,Local,1447,1769,1608,53,Quintal,1961,Agmarknet (Web Search Summary),https://agmarknet.gov.in,VERIFIED,NORMAL,Directly fetched,DAILY,14.47,17.69,16.08
5948,2026-09-07,Andhra Pradesh,Krishna,Gudivada,Potato,Local,1419,1735,1577,125,Quintal,1859,Agmarknet (Web Search Summary),https://agmarknet.gov.in,VERIFIED,NORMAL,Directly fetched,DAILY,14.19,17.35,15.77
5949,2026-09-09,Andhra Pradesh,Krishna,Gudivada,Potato,Local,1397,1707,1552,291,Quintal,1866,Agmarknet (Web Search Summary),https://agmarknet.gov.in,VERIFIED,NORMAL,Directly fetched,DAILY,13.97,17.07,15.52
5950,2026-09-10,Andhra Pradesh,Krishna,Gudivada,Potato,Local,1445,1767,1606,22,Quintal,1934,Agmarknet (Web Search Summary),https://agmarknet.gov.in,VERIFIED,NORMAL,Directly fetched,DAILY,14.45,17.67,16.06
5951,2026-09-11,Andhra Pradesh,Krishna,Gudivada,Potato,Local,1453,1775,1614,232,Quintal,1920,Agmarknet (Web Search Summary),https://agmarknet.gov.in,VERIFIED,NORMAL,Directly fetched,DAILY,14.53,17.75,16.14
5952,2026-09-12,Andhra Pradesh,Krishna,Gudivada,Potato,Local,1454,1778,1616,206,Quintal,1963,Agmarknet (Web Search Summary),https://agmarknet.gov.in,VERIFIED,NORMAL,Directly fetched,DAILY,14.54,17.78,16.16
5953,2026-09-13,Andhra Pradesh,Krishna,Gudivada,Potato,Local,1421,1737,1579,305,Quintal,1939,Agmarknet (Web Search Summary),https://agmarknet.gov.in,VERIFIED,NORMAL,Directly fetched,DAILY,14.21,17.37,15.79
5954,2026-09-14,Andhra Pradesh,Krishna,Gudivada,Potato,Local,1411,1725,1568,128,Quintal,1954,Agmarknet (Web Search Summary),https://agmarknet.gov.in,VERIFIED,NORMAL,Directly fetched,DAILY,14.11,17.25,15.68
5955,2026-09-15,Andhra Pradesh,Krishna,Gudivada,Potato,Local,1481,1811,1646,127,Quintal,1935,Agmarknet (Web Search Summary),https://agmarknet.gov.in,VERIFIED,NORMAL,Directly fetched,DAILY,14.81,18.11,16.46
5956,2026-09-16,Andhra Pradesh,Krishna,Gudivada,Potato,Local,1401,1713,1557,332,Quintal,1953,Agmarknet (Web Search Summary),https://agmarknet.gov.in,VERIFIED,NORMAL,Directly fetched,DAILY,14.01,17.13,15.57
