forecast_date,market,commodity,predicted_modal_price,lower_bound,upper_bound,confidence,model,data_status
2026-09-23,Gudivada,Potato,1641,1477,1806,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-09-24,Gudivada,Potato,1667,1500,1833,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-09-25,Gudivada,Potato,1664,1497,1830,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-09-26,Gudivada,Potato,1632,1469,1795,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-09-27,Gudivada,Potato,1644,1479,1808,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-09-28,Gudivada,Potato,1589,1430,1748,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-09-29,Gudivada,Potato,1637,1473,1801,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-09-30,Gudivada,Potato,1688,1520,1857,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-01,Gudivada,Potato,1658,1493,1824,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-02,Gudivada,Potato,1676,1509,1844,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-03,Gudivada,Potato,1620,1458,1782,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-04,Gudivada,Potato,1656,1490,1821,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-05,Gudivada,Potato,1651,1486,1817,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-06,Gudivada,Potato,1641,1477,1805,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-07,Gudivada,Potato,1663,1497,1829,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-08,Gudivada,Potato,1657,1491,1823,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-09,Gudivada,Potato,1644,1480,1809,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-10,Gudivada,Potato,1670,1503,1837,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-11,Gudivada,Potato,1685,1516,1853,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-12,Gudivada,Potato,1652,1487,1817,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-13,Gudivada,Potato,1653,1487,1818,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-14,Gudivada,Potato,1684,1515,1852,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-15,Gudivada,Potato,1668,1502,1835,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-16,Gudivada,Potato,1661,1494,1827,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
