id,date,state,district,market,commodity,variety,min_price_quintal,max_price_quintal,modal_price_quintal,arrivals,original_unit,original_price,source,source_url,data_status,quality_flag,generation_method,observation_frequency,min_price_kg,max_price_kg,modal_price_kg
47,2021-02-20,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,923,1097,1012,57,Quintal,1012,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,9.23,10.97,10.12
48,2021-02-21,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1016,1264,1129,244,Quintal,1129,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,10.16,12.64,11.29
49,2021-02-22,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,938,1133,1037,543,Quintal,1037,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,9.38,11.33,10.37
50,2021-02-23,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1023,1281,1127,36,Quintal,1127,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,10.23,12.81,11.27
51,2021-02-24,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,937,1165,1056,8,Quintal,1056,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,9.37,11.65,10.56
52,2021-02-25,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,974,1169,1030,222,Quintal,1030,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,9.74,11.69,10.3
53,2021-02-26,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,879,1085,1024,357,Quintal,1024,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,8.79,10.85,10.24
54,2021-02-27,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,976,1295,1133,224,Quintal,1133,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,9.76,12.95,11.33
55,2021-02-28,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,894,1117,1025,174,Quintal,1025,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,8.94,11.17,10.25
56,2021-03-01,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,887,1078,947,177,Quintal,947,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,8.87,10.78,9.47
57,2021-03-02,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,841,1018,936,346,Quintal,936,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,8.41,10.18,9.36
58,2021-03-03,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,875,1088,983,22,Quintal,983,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,8.75,10.88,9.83
59,2021-03-04,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,911,1137,1043,280,Quintal,1043,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,9.11,11.37,10.43
60,2021-03-06,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,910,1125,1050,63,Quintal,1050,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,9.1,11.25,10.5
61,2021-03-07,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,904,1100,960,451,Quintal,960,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,9.04,11.0,9.6
62,2021-03-08,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,902,1074,986,88,Quintal,986,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,9.02,10.74,9.86
63,2021-03-09,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,795,1005,932,85,Quintal,932,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,7.95,10.05,9.32
64,2021-03-10,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,908,1050,962,119,Quintal,962,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,9.08,10.5,9.62
65,2021-03-11,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,863,1021,930,192,Quintal,930,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,8.63,10.21,9.3
66,2021-03-12,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,868,1011,957,429,Quintal,957,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,8.68,10.11,9.57
67,2021-03-13,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,943,1111,1002,555,Quintal,1002,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,9.43,11.11,10.02
68,2021-03-14,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,801,986,915,97,Quintal,915,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,8.01,9.86,9.15
69,2021-03-15,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,709,911,805,134,Quintal,805,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,7.09,9.11,8.05
70,2021-03-16,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,889,1125,997,406,Quintal,997,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,8.89,11.25,9.97
71,2021-03-17,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,897,1097,985,293,Quintal,985,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,8.97,10.97,9.85
72,2021-03-18,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,931,1068,989,501,Quintal,989,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,9.31,10.68,9.89
73,2021-03-19,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,888,1012,958,425,Quintal,958,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,8.88,10.12,9.58
74,2021-03-20,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,803,1002,908,100,Quintal,908,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,8.03,10.02,9.08
75,2021-03-21,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,960,1139,1044,82,Quintal,1044,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,9.6,11.39,10.44
76,2021-03-23,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,979,1108,1042,701,Quintal,1042,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,9.79,11.08,10.42
77,2021-03-25,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,908,1034,963,171,Quintal,963,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,9.08,10.34,9.63
78,2021-03-26,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,811,1050,939,183,Quintal,939,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,8.11,10.5,9.39
79,2021-03-27,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,823,952,891,31,Quintal,891,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,8.23,9.52,8.91
80,2021-03-28,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,842,1045,952,77,Quintal,952,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,8.42,10.45,9.52
81,2021-03-29,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,974,1192,1075,98,Quintal,1075,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,9.74,11.92,10.75
82,2021-03-30,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,857,1078,980,132,Quintal,980,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,8.57,10.78,9.8
83,2021-03-31,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,800,1054,932,11,Quintal,932,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,8.0,10.54,9.32
84,2021-04-01,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,815,1099,958,313,Quintal,958,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,8.15,10.99,9.58
85,2021-04-02,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,876,1107,976,298,Quintal,976,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,8.76,11.07,9.76
86,2021-04-03,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,814,1010,901,263,Quintal,901,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,8.14,10.1,9.01
87,2021-04-04,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,894,1068,983,168,Quintal,983,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,8.94,10.68,9.83
88,2021-04-05,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,751,930,874,198,Quintal,874,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,7.51,9.3,8.74
89,2021-04-06,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,914,1205,1062,100,Quintal,1062,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,9.14,12.05,10.62
90,2021-04-07,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,845,966,916,52,Quintal,916,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,8.45,9.66,9.16
91,2021-04-08,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,850,1051,979,263,Quintal,979,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,8.5,10.51,9.79
92,2021-04-09,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,878,1100,981,29,Quintal,981,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,8.78,11.0,9.81
93,2021-04-10,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,728,895,822,447,Quintal,822,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,7.28,8.95,8.22
94,2021-04-11,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,839,1067,950,36,Quintal,950,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,8.39,10.67,9.5
95,2021-04-12,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,850,1077,937,343,Quintal,937,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,8.5,10.77,9.37
96,2021-04-13,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,840,1003,912,221,Quintal,912,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,8.4,10.03,9.12
97,2021-04-14,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,750,907,824,270,Quintal,824,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,7.5,9.07,8.24
98,2021-04-15,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,916,1114,1007,112,Quintal,1007,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,9.16,11.14,10.07
99,2021-04-16,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,771,975,877,93,Quintal,877,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,7.71,9.75,8.77
100,2021-04-17,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,838,978,922,116,Quintal,922,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,8.38,9.78,9.22
101,2021-04-18,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,776,960,905,397,Quintal,905,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,7.76,9.6,9.05
102,2021-04-19,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,798,1042,919,113,Quintal,919,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,7.98,10.42,9.19
103,2021-04-20,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,889,1030,962,45,Quintal,962,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,8.89,10.3,9.62
104,2021-04-21,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,872,1014,925,71,Quintal,925,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,8.72,10.14,9.25
